Contract Address,Balance (OP),Contract Type
0xFB705DDaa82b3201B88b20863F51962F0a408154,5.1,Other
0xfBFC4Fc62F064dEFB7503584af4BC60cbC5EFb6B,4.0,Other
0x022d293B9d7E7607FB023e05AB9304998b63808A,4859.0,Vault Contract
0x039E254EA05BC91403234586976cfB295Ff6D50a,2632.9999999999995,Gnosis Safe Proxy
0xb9EC370A07FC0B1f01d55a832B027D036fD54574,34207.32321154985,Gnosis Safe Proxy
0xd918BB9f1b48AF7094A82c269BD87dA2265d0537,104.8,Vault Contract
0xF917aE3Ed4182eAC530208AA77ceF214b8Ae797d,1.65,Other
0x86770FfE8A2867f6BA863776aE820333A084B6fB,18.69035879,Gnosis Safe Proxy
0x3fBc68e37Be11b50e640862E0861DFE73535fC5A,285352.98,Other
0x67FB04810702076E4493f13A02aE66c96AaA18f2,11.10712297419,Other
0xd25711EdfBf747efCE181442Cc1D8F5F8fc8a0D3,549644.3040804701,ERC20 Token
0x31B73B0549E0151b6233C5d179580B8A840B83fb,575000.0,Gnosis Safe Proxy
0x459d355D5Dcb1c89DA4baD71Df5247070FB7FbA6,465.8,Vault Contract
0x4e7906B60D55E07Ec1C6E9A246A4C6601c5133Bb,4.96333377350945,Other
0xd66188Da20bfb0b7fcCe463739096a9605B9b81D,1161.0,Vault Contract
0xE82c4DBfD0EF5dCd55DF83Ceda4663412E8fD09a,1.2,Gnosis Safe Proxy
0x1F35a0Dc881eE7c59b98a0b38Df690988Db2831d,7.4,Other
0xcd22EAd22d646a77145A6F735b315d43A4E7830d,88.0,Other
0xb47e000A4B3eEa4cA9BBA0796CcaE67d81bA2a4F,1.91,Other
0xa53d2C094DDc331c888BfECBE4652e3F1CE5438a,10.0,Other
0xe6fb38d10e03f263d5Ef54D3fa742110f50e041A,1334.184,Gnosis Safe Proxy
0x8953D5BbA008de6D0F5847F0Be977f02849EB6d8,292.85970653685143,ERC20 Token
0x87da48eC04d7E20372367F2865DADE644285CE1E,4.291250492,Other
0x41ef43656F1FF21683691BbC1aA72901211e81C4,8.33202,Other
0xeE11011Fe10A751FAd83b68011C71049B2f93971,1.200941564,Other
0xFC7a92Ba0E632552db1234d21bDb693c3A8d561d,1.002,Other
0xbD16658A3E7148882d5d284100c7691906623D8A,26.0,Other
0x131aB96415CA21B2e2f7d0099D72CF52B734ED5c,40000.0,Gnosis Safe Proxy
0x2C92058dc0Ea4A4d22C077Dca3EFa532Adc03323,6.475406584999999,Other
0x9a00Dabcb2cC9086fc5A663CE15BED080B43df22,12.454220712328976,Other
